سوف أقوم بما تريدونه مني في المشروع والتزم بالتعليمات .;شخصية تابعة 
أرى في التعلم المستمر فرصة لتطوير قدراتي ومعرفتي .;شخصية قيادية
أقترح إنشاء مشروع خيري لمساعدة المساكين ، هل تدعم اقتراحي يا أبي ؟;شخصية قيادية
أخبرتني المعلمة أن الحلويات مضرة لذلك سوف التزم بما قالته ولن آكلها !;شخصية تابعة 
أنا أحب أبي لذلك أنا اقتدي به واتبع نهجه في الحياة !;شخصية تابعة 
أنا يجب أن اقتدي بالناس الصالحين ، اتبع خطاهم والتزم بما يفعلونه أليس كذلك يا أمي ؟;شخصية تابعة 
أشعر بالراحة عندما التزم بما يمليه علي والدي واخوتي الكبار .;شخصية تابعة 
لا تقلق أنا لن ازعجك في لعبة الغميضة ، فقط اتركني اتبعك بصمت .. أنا خائف من أن يجدوني !;شخصية تابعة 
أنا قائد جيد ، لذلك دائمًا ما أكون قائد الفصل !;شخصية قيادية
أنا سريع البديهة وأتصرف بشكل سريع ، لذلك اقترح أن أكون قائد الفصل !;شخصية قيادية
أرى في التحفيز والتشجيع قوة لتحقيق النجاح ، لذلك نحن بحاجة إلى دعمك يا أستاذ !;شخصية قيادية
اقترح إنشاء برنامج توجيهي للطلاب الجدد في المدرسة .;شخصية قيادية
هل تعلم يا أبي ؟ أنا المسؤول عن بناء جو إيجابي ومليء بالتفاؤل في الفصل !;شخصية قيادية
بمن تقتدي يا أخي ؟ أنا اقتدي بأمي وأبي ! وأريد أن اتبع خطاهم عندما أكبر .;شخصية تابعة 
أنا خائف من المدير ، لذلك سأنتظر الأستاذ حتى يأتي ويرشدني إلى فصلي ، عندها سألحق به .;شخصية تابعة 
لا أعلم ، ارشدني يا صديقي .;شخصية تابعة 
أريد أن اتبعك وألحقك في كل مكان تذهب إليه ! هل يمكنني ذلك ؟;شخصية تابعة 
ما رأيك في رسمتي ؟ ارشدني إلى الطريقة الصحيحة للرسم إن لم تكن رسمتي جيدة .;شخصية تابعة 
أرى في الصبر والاصرار مفتاحًا لتحقيق الأهداف الكبيرة .;شخصية قيادية
اقترح إقامة حملة توعوية للحفاظ على صحة الأسنان ، لأن هنالك الكثير من أصدقائنا في الفصل يعانون من ألم الأسنان .;شخصية قيادية
لأني قائد الفصل يجب علي الاستماع إلى مشاكل زملائي حتى أساعدهم إن استطعت أو أخبر الأستاذ ليساعدنا .;شخصية قيادية
أرى أننا يجب علينا كأطفال مساعدة والدينا في المنزل .;شخصية قيادية
اقترح أن تأخذونا في نزهة خارج المدرسة يا أستاذ ، حتى نعود للدراسة مجددًا بحماس !;شخصية قيادية
أريد أن اتبع الفريق المدرسي إلى الرحلة ، هل هذا ممكن ؟ أعد بأنني سوف التزم بما تطلبونه مني !;شخصية تابعة 
أعدك بأنني سوف التزم بالتعليمات كاملة ، وسوف ألحق بكم في كل مكان كذلك ولن أضيع .;شخصية تابعة 
سوف اتبع ما تفعله يا أخي الأكبر حتى أصبح مثلك عندما أكبر . أنت قدوتي !;شخصية تابعة 
أظن بأنني قد ضعت ، هل يمكنك أن ترشدني إلى طريق الخروج ؟ سوف ألحق بك .;شخصية تابعة 
أنا اتبع التعليمات دائمًا والتزم بالقوانين المدرسية لذلك يحبني الأستاذة .;شخصية تابعة 
أنا مسؤول عن توجيه زملائي في الفصل نحو بوابة الخروج ،  لأن ذلك ما كلفني به الأستاذ اليوم .;شخصية قيادية
أرى أننا يجب علينا طاعة والدينا ، واقترح أن نصبح مسؤولين عن أنفسنا حتى لا نسبب الكثير من المشاكل ...;شخصية قيادية
اقترح عليك يا أخي أن تكف عن أكل الحلويات ، إنها مضرة !!!;شخصية قيادية
أنا سوف أكون قائد اللعبة !;شخصية قيادية
أنا مسؤول عن تنظيف الفصل اليوم ، لذلك اقترح أن تساعدوني .. ما رأيكم ؟;شخصية قيادية
أشعر بالخوف بمفردي ، هل يمكنك أن تأتي معي وترشدني ؟ سوف ألحق بك جيدًا ولن أعيقك !;شخصية تابعة 
أستاذ أنت شخص جيد ، لذلك أنت قدوتي . هل يمكنني أن اتبعك دائمًا لأصبح مثلك عندما أكبر ؟;شخصية تابعة 
لا أعلم ، اذهب أنت اولًا وسوف ألحق بك . ;شخصية تابعة 
أحتاج إلى أن اتبع أحد آخر ، لا أريد أن أكون وحدي .;شخصية تابعة 
خذ أنت القرار وارشدني إلى ما هو صحيح ! سوف اتبعك صدقني يا صديقي .;شخصية تابعة 
واثق من أننا سنفوز في مسابقة المدرسة ، لقد عملنا بجد لأجلها !;شخصية قيادية
واثق من قدرتي على قيادة الفصل باذن الله ، لذلك لا تقلق يا أستاذ .;شخصية قيادية
اقترح أن يتم تخصيص وقت للعب بعد كل حصتين دراسيتين ، واثق من أن اداءنا الدراسي سيكون أفضل بهذه الطريقة .;شخصية قيادية
اقترح أن نلعب الغميضة الآن ، وسوف أكون المسؤول عن اختيار اللعبة التالية كذلك .. هذا لأني القائد اليوم ، لا تنسوا ذلك !;شخصية قيادية
واثق أني وأخي سوف نكون قادرين على تحمل المسؤولية وقت غياب والدينا ولن نسبب المتاعب لهم !;شخصية قيادية
يعجبني عندما تكون هنالك قوانين لحل الواجب المدرسي ، لأني أحب أن اتبعها والتزم بها .;شخصية تابعة 
مع من يجب ألعب ؟ ارشدني يا أستاذ من فضلك حتى اتبع باقي الزملاء .;شخصية تابعة 
دائمًا ما أكون في الخلف عندما ألحق بأصدقائي ، لذلك لا أعلم ما الذي يقولونه في الأمام .;شخصية تابعة 
يجب أن يكون لدي قدوة أليس كذلك ؟ حتى أستطيع أن اتبع خطى هذه القدوة وألحق بطريقها !;شخصية تابعة 
أيًا كان ما يفعله والداي وأصدقائي وأساتذتي أفعله دائمًا واتبعهم في كل شيء حتى ألحق بهم .;شخصية تابعة 
واثق أن المدرسة سوف تكون أكثر جمالًا إن عملنا معًا على تجميلها بالنباتات .. ;شخصية قيادية
أرى أن هنالك الكثير من الألعاب التي لم نلعبها بعد ، لذلك اقترح أن نلعب لعبة مختلفة في كل مرة نأتي فيها إلى هنا !;شخصية قيادية
اقترح أن نصنع قلعة بالرمال ، سيكون ذلك جميلًا ! وأنا المسؤول عن احضار الماء ، حسنًا ؟;شخصية قيادية
أرى أن علينا الهدوء قليلًا في حصة الأستاذ أحمد ، لقد كنا صاخبين جدًا في حصته المرة السابقة وقد اتعبه ذلك .;شخصية قيادية
واثق من أن الأستاذ لن يجدنا إن اختبأنا جيدًا وفي مكان لا يخطر على البال .. اتبعوني ّ سأكون المسؤول عن إيجاد ذلك المكان ;شخصية قيادية
لا أعرف الطريق ، أنت ارشدني من فضلك يا صديقي;شخصية تابعة 
أنت قائد الفصل ؟ إذا ساتبع ما تقوله ;شخصية تابعة 
في لعبة اليوم أنا القائد حسنًا ؟;شخصية قيادية
أمي سألتني ماذا أريد أن أصبح عندما أكبر .. اخبرتها أنني أريد أن أكون قائد في العسكرية لأقضي على الأشرار !!;شخصية قيادية
سوف الحق بك وقتما انتهي من جمع كتبي ;شخصية تابعة 
اتبع دائمًا الأشخاص الجيدين كما قالت لي أمي وكما نصحني أبي ;شخصية تابعة 
أنا أرى أنه سيكون من الجميل إن حظينا بيوم مفتوح غدًا بدلًا من الدراسة طوال الوقت;شخصية قيادية
أنا اقترح يا معلمي أن نبدأ بتسميع القرآن ثم بتلاوته ;شخصية قيادية
يبدو أن صديقي على حق في ما يقوله ، لذلك سوف اتبعه ;شخصية تابعة 
أنت محق يا أستاذ .. اعتذر عما فعلت .. أعدك أن التزم بالتعليمات واتبع الارشادات;شخصية تابعة 
أنا واثق من أننا نستطيع التغلب على مشكلة الازعاج في الفصل .. لنعمل معًا فقط وسننجح في حلها !;شخصية قيادية
أنا واثق من قدرتنا على حل مسائل الرياضيات في الاختبار .. لذلك لا يجب علينا القلق يا رفاق ، لقد درسنا بجد !;شخصية قيادية
سوف اقتدي بك أنت يا والدي;شخصية تابعة 
أحب الشخص الحليم لذلك سوف اقتدي بهذا النوع من الشخصيات ;شخصية تابعة 
يبدو بأنني سوف أكون أنا قائد الفصل هذا العام كذلك !;شخصية قيادية
سوف اقترح على المعلم أن ننتهي من الحصة مبكرًا اليوم حتى نلعب لفترة أطول ، حسنًا يا رفاق ؟;شخصية قيادية
أعرف كيف التزم باللوائح المدرسية جيدًا ;شخصية تابعة 
أخبرني تريد مني أن العب دور من في اللعبة وسوف التزم بهذا الدور جيدًا;شخصية تابعة 
أنا أرى أن الجو بارد اليوم وعلينا البقاء في الفصل في فترة الفسحة حتى لا نتجمد;شخصية قيادية
أنا أرى أن المذاكرة في نهاية الأسبوع فقط فكرة جيدة جدًا يا أبي ;شخصية قيادية
أنت ارشدني يا صديقي إلى مركز ألعاب جيد ، يبدو أنك تعلم الكثير من المراكز الجيدة;شخصية تابعة 
ارشدني أنت .. لا أعرف;شخصية تابعة 
أنا القائد اليوم;شخصية قيادية
أنا المسؤول عن الفصل ، هل من مشكلة ؟;شخصية قيادية
سوف اتبعك أنت;شخصية تابعة 
ماذا تريد أنت ؟ سوف اتبعك وافعل كما تفعل أنت;شخصية تابعة 
أنا المسؤول عن التنظيف لذلك استمعوا إلي وافعلوا كما أخبركم ، حسنًا ؟;شخصية قيادية
أنا أرى أن علينا اختراع لعبة جديدة ، لقد مللنا من هذه !;شخصية قيادية
ارشدني أنت يا صديقي;شخصية تابعة 
ارشدني إلى طريقة تجعل من رسمي يتحسن يا معلمي;شخصية تابعة 
أنا واثق من أن تقديم الهدايا للأصدقاء سيجعلهم يشعرون بالسعادة ;شخصية قيادية
أنا واثق من هذه الفكرة ;شخصية قيادية
أنت تعرف كيف ؟ إذًا سوف اتبعك ;شخصية تابعة 
سوف التزم بلوائح اللعبة ;شخصية تابعة 
أنا اقترح زيادة عدد نقاط اللعبة ، وإلا لن يفوز أحد حتى الغد;شخصية قيادية
أنا اقترح العودة إلى منازلنا مبكرًا اليوم حتى نساعد آباءنا على التنظيف والترتيب;شخصية قيادية
دائمًا ما اتبع أصدقائي ;شخصية تابعة 
سوف اتبع نفس طريقة حلك أنت لهذه المشكلة;شخصية تابعة 
أنا القائد ! لما لا تستمع إلي ؟!!!!;شخصية قيادية
أنا المسؤول عن التحدث بالنيابة عن الفصل كله ;شخصية قيادية
اتبع إرشادات تركيب المكعبات ومع ذلك لا استطيع صنعها بشكل صحيح !!!!;شخصية تابعة 
هل الحق بك ؟;شخصية تابعة 
أنا أرى أن هذه فكرة جميلة جدًل للتخلص من النعاس في الصباح ، سوف اقترحها غدًا على أصدقائي;شخصية قيادية
أنا الطالب المثالي لهذا العام في المدرسة لذلك أصبحت القائد على الفصل ;شخصية قيادية
أمي تقول أنك فتى جيد ، لذلك سوف اتبعك أنت ;شخصية تابعة 
أحب أن يكون هنالك ما التزم به من تعليمات ;شخصية تابعة 
أنا واثق من خسارة الفريق الآخر ، انظر كم من نقطة احرزنا بينما هم نائمون هناك !!;شخصية قيادية
أنا واثق من قدرتي على الرسم والتخطيط بشكل جيد;شخصية قيادية
هل اتبعك أنت ؟ أم محمد ؟ لا أعلم ..;شخصية تابعة 
احتاج إلى من يرشدني لحل هذا السؤال .. إنه صعب !;شخصية تابعة 
أنا واثق من نجاح خطتنا هذه في التغلب على الأشرار;شخصية قيادية 
أنا واثق جدًا مما أقوم به ، لذلك لا حاجة للقلق ;شخصية قيادية
